household_id,child_id,child_unique_id,child_age,child_gender,ar11,mother_pid14,mother_pidlink,mother_age
0082731,9.0,008273109,0.0,1:Male,5.0,5.0,008270004,32.0
0082741,7.0,008274107,2.0,1:Male,4.0,4.0,008274104,26.0
0082742,7.0,008274207,2.0,1:Male,4.0,4.0,008270007,26.0
0082751,3.0,008275103,3.0,1:Male,2.0,2.0,008270005,31.0
0082751,4.0,008275104,0.0,3:Female,2.0,2.0,008270005,31.0
0082752,3.0,008275203,0.0,3:Female,1.0,1.0,008270008,23.0
0082851,3.0,008285103,3.0,1:Male,2.0,2.0,008280003,24.0
0082941,4.0,008294104,3.0,3:Female,2.0,2.0,008290005,35.0
0082942,6.0,008294206,0.0,1:Male,2.0,2.0,008294202,35.0
0082952,3.0,008295203,2.0,3:Female,1.0,1.0,008290008,26.0
0083031,5.0,008303105,3.0,1:Male,2.0,2.0,008300003,38.0
0083042,4.0,008304204,2.0,1:Male,2.0,2.0,008304202,28.0
0083051,4.0,008305104,1.0,3:Female,2.0,2.0,008304104,28.0
0090142,6.0,009014206,3.0,3:Female,2.0,2.0,009010005,34.0
0090143,8.0,009014308,4.0,1:Male,2.0,2.0,009010007,30.0
0090143,9.0,009014309,1.0,1:Male,2.0,2.0,009010007,30.0
0090200,10.0,009020010,2.0,1:Male,8.0,8.0,009020008,28.0
0090200,11.0,009020011,1.0,1:Male,8.0,8.0,009020008,28.0
0090251,3.0,009025103,1.0,3:Female,2.0,2.0,009020004,39.0
0090531,6.0,009053106,3.0,1:Male,2.0,2.0,009050005,35.0
0090531,7.0,009053107,3.0,1:Male,2.0,2.0,009050005,35.0
0090551,4.0,009055104,2.0,3:Female,2.0,2.0,009050008,29.0
0090552,3.0,009055203,4.0,1:Male,2.0,2.0,009050007,27.0
0090641,7.0,009064107,3.0,3:Female,2.0,2.0,009060002,32.0
0090700,14.0,009070014,3.0,1:Male,13.0,13.0,009070013,23.0
0090700,15.0,009070015,0.0,3:Female,13.0,13.0,009070013,23.0
0090741,6.0,009074106,0.0,3:Female,2.0,2.0,009074102,26.0
0090751,4.0,009075104,0.0,3:Female,2.0,2.0,009070004,31.0
0090842,4.0,009084204,1.0,1:Male,2.0,2.0,009080006,26.0
0091200,11.0,009120011,4.0,1:Male,6.0,6.0,009120006,40.0
0091200,12.0,009120012,0.0,3:Female,6.0,6.0,009120006,40.0
0091500,15.0,009150015,1.0,1:Male,10.0,10.0,009170003,38.0
0091741,5.0,009174105,3.0,1:Male,2.0,2.0,009170006,32.0
0091752,3.0,009175203,3.0,3:Female,2.0,2.0,009175202,28.0
0091752,4.0,009175204,1.0,3:Female,2.0,2.0,009175202,28.0
0091831,8.0,009183108,4.0,1:Male,2.0,2.0,009180003,44.0
0091832,6.0,009183206,4.0,1:Male,1.0,1.0,009180005,40.0
0091832,7.0,009183207,1.0,1:Male,1.0,1.0,009180005,40.0
0091941,5.0,009194105,3.0,1:Male,2.0,2.0,009194102,27.0
0092041,6.0,009204106,2.0,3:Female,1.0,1.0,009200004,30.0
0092141,4.0,009214104,2.0,1:Male,2.0,2.0,009210004,27.0
0092151,3.0,009215103,3.0,1:Male,2.0,2.0,009215102,25.0
0092251,3.0,009225103,0.0,3:Female,2.0,2.0,009225102,33.0
0092341,3.0,009234103,1.0,3:Female,1.0,1.0,009230003,27.0
0092342,3.0,009234203,0.0,1:Male,1.0,1.0,009230004,26.0
0092441,7.0,009244107,3.0,3:Female,2.0,2.0,009240002,46.0
0092842,4.0,009284204,1.0,3:Female,1.0,1.0,009280004,27.0
0092941,5.0,009294105,4.0,1:Male,2.0,2.0,009294102,37.0
0092942,2.0,009294202,3.0,3:Female,3.0,3.0,009294203,30.0
0093011,7.0,009301107,3.0,1:Male,3.0,3.0,009301103,28.0
0100300,8.0,010030008,3.0,3:Female,2.0,2.0,010030002,34.0
0100300,9.0,010030009,0.0,3:Female,2.0,2.0,010030002,34.0
0100522,11.0,010052211,2.0,3:Female,7.0,7.0,010052207,33.0
0100531,6.0,010053106,4.0,1:Male,3.0,3.0,010053103,38.0
0100531,7.0,010053107,2.0,1:Male,3.0,3.0,010053103,38.0
0100641,5.0,010064105,4.0,1:Male,2.0,2.0,010064102,30.0
0100641,6.0,010064106,3.0,3:Female,2.0,2.0,010064102,30.0
0100651,3.0,010065103,3.0,3:Female,2.0,2.0,010060005,29.0
0100651,4.0,010065104,2.0,1:Male,2.0,2.0,010060005,29.0
0100652,5.0,010065205,3.0,1:Male,2.0,2.0,010060008,29.0
0101000,8.0,010100008,3.0,1:Male,7.0,7.0,010100007,33.0
0101000,9.0,010100009,1.0,3:Female,7.0,7.0,010100007,33.0
0101031,3.0,010103103,4.0,3:Female,1.0,1.0,010100004,36.0
0101031,4.0,010103104,0.0,1:Male,1.0,1.0,010100004,36.0
0101051,4.0,010105104,1.0,3:Female,2.0,2.0,010105102,31.0
